BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.787875,0.99566,0.00085,1.1441,-1.60,-2.00,20.51,27287
2460660.788024,1.00093,0.00085,1.1435,-1.30,-0.35,21.57,24354
2460660.788179,0.99887,0.00085,1.1429,-0.84,1.64,20.21,30849
2460660.788336,0.99923,0.00085,1.1424,0.07,0.34,20.73,27027
2460660.788492,1.00054,0.00085,1.1418,0.51,-0.53,20.89,27076
2460660.788648,1.00104,0.00085,1.1412,1.68,0.82,20.35,29268
2460660.788803,0.99900,0.00084,1.1406,1.50,-0.60,20.66,29395
2460660.788960,1.00112,0.00085,1.1401,-0.24,1.00,20.71,26414
2460660.789116,1.00084,0.00085,1.1395,0.07,-0.38,20.88,24751
2460660.789272,1.00127,0.00085,1.1389,0.78,1.34,21.41,24105
2460660.789428,0.99924,0.00084,1.1384,-0.19,-0.35,20.19,30098
2460660.789584,0.99755,0.00084,1.1378,0.83,-0.14,21.10,27555
2460660.789740,0.99726,0.00084,1.1372,1.50,1.10,19.82,30766
2460660.789896,0.99739,0.00084,1.1367,-0.05,-0.26,20.05,32684
2460660.790052,1.00046,0.00084,1.1361,-0.94,0.70,20.74,30477
2460660.790208,0.99775,0.00084,1.1356,-1.17,-0.59,21.04,28591
2460660.790364,0.99878,0.00084,1.1350,-0.58,1.23,20.34,30798
2460660.790520,1.00087,0.00084,1.1344,-0.65,-0.05,21.27,26786
2460660.790676,0.99923,0.00084,1.1339,0.36,-1.09,20.69,27285
2460660.790825,1.00006,0.00084,1.1334,1.65,0.32,20.88,26280
2460660.790981,1.00072,0.00084,1.1328,1.02,0.97,20.76,30218
2460660.791137,0.99843,0.00084,1.1322,1.12,0.23,20.64,27785
2460660.791293,0.99831,0.00084,1.1317,0.92,1.60,21.85,24081
2460660.791449,0.99891,0.00084,1.1312,0.02,-1.09,22.17,27982
2460660.791605,1.00080,0.00084,1.1306,0.24,-0.04,20.28,29715
2460660.791761,1.00036,0.00084,1.1301,0.67,0.66,20.12,34350
2460660.791917,0.99978,0.00083,1.1295,1.49,0.76,20.56,29575
2460660.792073,1.00004,0.00083,1.1290,-0.61,-0.11,20.11,31178
2460660.792229,0.99581,0.00083,1.1284,-0.29,-0.46,19.76,33903
2460660.792378,0.99983,0.00083,1.1279,-1.32,0.65,20.13,32625
2460660.792534,0.99884,0.00083,1.1274,-1.51,-1.33,21.05,29894
2460660.792690,0.99926,0.00083,1.1268,-2.14,-0.25,19.43,34465
2460660.792846,0.99928,0.00083,1.1263,0.80,-0.85,19.29,37466
